order_id,day_id,missing_information,inserted_at,updated_at,order_items
3qv34lfcbtd52eb,0,False,2025-09-10 08:49:43.550Z,2025-09-15 10:12:02.760Z,"[{""order_item_id"":""rfk8tw3iirkomqy"",""item_id"":""9u0dihc91cpdzbb"",""item_name"":""Iste, Fersken"",""customizations"":[]},{""order_item_id"":""odujka7iovtjiti"",""item_id"":""e4s89pfkij3inth"",""item_name"":""Varm Sjokolade m/krem"",""customizations"":[]},{""order_item_id"":""ijqfq8hc73rbpw5"",""item_id"":""qxbwk37iqt9hwgp"",""item_name"":""Is Matcha"",""customizations"":[{""customization_id"":""1xk5hdciovm5nj7"",""key"":""Ekstra"",""value"":""Espresso""},{""customization_id"":""a38lued7hmf09sa"",""key"":""Kopp"",""value"":""Egen""}]}]"
3seg2xtylvs26q1,0,False,2025-09-10 08:35:59.402Z,2025-09-15 10:12:02.876Z,"[{""order_item_id"":""cp7z0mqw6eqntau"",""item_id"":""e4s89pfkij3inth"",""item_name"":""Varm Sjokolade m/krem"",""customizations"":[]}]"
3shadvm4o9hpjfu,0,False,2025-09-09 10:23:12.466Z,2025-09-15 10:12:02.556Z,"[{""order_item_id"":""oax7n0ox3i000yn"",""item_id"":""3lcgplzn9do9zi3"",""item_name"":""Varm sjokolade u/krem"",""customizations"":[{""customization_id"":""vysj25yrdikhhtq"",""key"":""Kopp"",""value"":""Liten""}]}]"
3sme7fxtdc24zjg,0,False,2025-09-10 07:17:28.992Z,2025-09-15 10:12:03.116Z,"[{""order_item_id"":""211wloryffi3e9d"",""item_id"":""e4s89pfkij3inth"",""item_name"":""Varm Sjokolade m/krem"",""customizations"":[]}]"
3uczzgr0rlrgqvn,0,False,2025-09-08 08:28:25.546Z,2025-09-15 10:12:01.933Z,"[{""order_item_id"":""wbrild7h0s4zmm3"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
3zguy1qfy6qo2e0,0,False,2025-09-08 08:31:00.722Z,2025-09-15 10:12:01.951Z,"[{""order_item_id"":""xquaw67zl3rt71j"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
42ag66zgokuc926,0,False,2025-09-08 07:18:17.100Z,2025-09-15 10:12:01.550Z,"[{""order_item_id"":""grovfxyaf0u9nov"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""7rk2o6jvq1i2dbi"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""op9otjiljv6kvx2"",""key"":""Melk"",""value"":""Lett""}]}]"
44ppcwmzq8p6s8k,104,False,2025-09-22 08:06:18.305Z,2025-09-22 08:17:51.258Z,"[{""order_item_id"":""awdaf6y1b16ka44"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""uc4t74dib803xln"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""n9gs6mdwu63in5i"",""key"":""Kopp"",""value"":""Egen""}]}]"
45e4w6lfko7yg2o,0,False,2025-09-10 08:53:44.188Z,2025-09-15 10:12:02.854Z,"[{""order_item_id"":""i8869a0eblmi96i"",""item_id"":""qxbwk37iqt9hwgp"",""item_name"":""Is Matcha"",""customizations"":[]}]"
498ex8akbybid5t,0,False,2025-09-10 08:34:54.239Z,2025-09-15 10:12:02.756Z,"[{""order_item_id"":""3p82mu2ymcy0oc4"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""e7poqcydzpc6jlc"",""key"":""Ekstra"",""value"":""Espresso""}]}]"
