Tid;Høyde
198.6;197.90900000000005
198.8;196.689
199.0;195.474
199.2;194.23200000000003
199.4;193.021
199.6;191.766
199.8;190.511
200.0;189.181
200.2;187.848
200.4;186.499
200.6;185.1200000000001
200.8;183.754
201.0;182.36600000000004
201.2;180.954
201.4;179.53900000000004
201.6;178.113
201.8;176.632
202.0;175.122
202.2;173.56400000000002
202.4;172.04000000000002
202.6;170.48499999999996
202.8;168.96700000000004
203.0;167.44099999999997
203.2;165.926
203.4;164.42300000000006
203.6;163.00500000000005
203.8;161.69
204.0;160.37500000000006
204.2;159.17699999999996
204.4;157.84499999999997
204.6;156.46999999999997
204.8;155.07
205.0;153.56400000000002
205.2;151.99899999999997
205.4;150.35499999999996
205.6;148.56800000000004
205.8;146.70300000000003
206.0;144.75000000000006
206.2;142.64600000000002
206.4;140.34300000000002
206.6;137.93699999999995
206.8;135.473
207.0;132.90000000000003
207.2;130.34499999999997
207.4;127.748
207.6;125.06900000000002
207.8;122.24500000000006
208.0;119.15799999999996
208.2;115.94099999999996
208.4;112.58700000000005
208.6;109.04400000000004
208.8;105.47200000000004
209.0;101.83700000000005
209.2;98.35999999999996
209.4;94.88000000000004
209.6;91.40799999999996
209.8;87.82300000000004
210.0;84.09700000000004
210.2;80.17099999999999
210.4;75.94900000000001
210.6;71.16400000000004
210.8;65.995
211.0;60.888000000000034
211.2;55.76100000000002
211.4;50.55200000000002
211.6;45.46600000000001
211.8;40.666
212.0;36.16899999999998
212.2;32.07800000000003
212.4;28.267
212.6;24.954999999999984
212.8;21.985000000000014
213.0;19.555999999999983
213.2;17.526999999999987
213.4;15.812999999999988
213.6;14.17700000000002
213.8;12.797000000000024
214.0;11.08499999999998
214.2;9.434000000000026
214.4;8.521000000000015
214.6;8.048999999999978
214.8;7.338000000000022
215.0;7.067999999999984
215.2;6.045000000000016
215.4;5.584000000000003
215.6;4.478000000000009
215.8;3.300000000000012
216.0;2.5819999999999936
216.2;1.5620000000000118
216.4;0.8290000000000077
216.6;-0.0779999999999745
216.8;0.0
